iter	Passed	Remaining
141	414	2502
142	415	2488
143	416	2475
144	417	2462
145	418	2448
146	419	2435
147	421	2428
148	423	2416
149	424	2404
150	425	2391
151	426	2379
152	427	2368
153	429	2357
154	430	2345
155	431	2334
156	432	2323
157	434	2312
158	435	2302
159	436	2292
160	437	2279
161	438	2268
162	439	2257
163	440	2246
164	441	2236
165	443	2227
166	444	2217
167	445	2206
168	446	2196
169	447	2186
170	449	2177
171	450	2168
172	451	2159
173	452	2149
174	454	2140
175	455	2130
176	456	2121
177	457	2112
178	458	2103
179	459	2094
180	460	2085
181	462	2076
182	463	2067
183	464	2059
184	465	2051
185	466	2042
186	467	2034
187	469	2026
188	470	2018
189	471	2009
190	472	2002
191	474	1994
192	475	1986
193	476	1979
194	477	1971
195	478	1963
196	479	1955
197	481	1948
198	482	1941
199	483	1933
200	484	1926
201	485	1918
202	486	1911
203	488	1904
204	489	1897
205	490	1890
206	491	1883
207	492	1876
208	493	1869
209	495	1862
210	496	1856
211	497	1849
212	498	1843
213	500	1836
214	501	1829
215	502	1823
216	503	1817
217	504	1810
218	505	1803
219	506	1797
220	508	1790
221	509	1784
222	510	1778
223	511	1772
224	512	1766
225	513	1760
226	515	1753
227	516	1747
228	517	1741
229	518	1736
230	519	1730
231	521	1725
232	522	1719
233	523	1713
234	524	1707
235	525	1702
236	527	1697
237	528	1691
238	529	1685
239	530	1680
240	531	1674
241	532	1668
242	534	1663
243	535	1658
244	536	1653
245	537	1647
246	538	1642
247	539	1636
248	541	1632
249	542	1626
250	543	1621
251	544	1615
252	545	1610
253	546	1605
254	547	1599
255	548	1595
256	550	1590
257	551	1585
258	552	1580
259	553	1575
260	554	1570
261	555	1565
262	556	1560
263	558	1555
264	559	1550
265	560	1545
266	561	1540
267	562	1536
268	563	1532
269	564	1527
270	565	1522
271	567	1517
272	568	1513
273	569	1508
274	570	1503
275	571	1499
276	572	1495
277	573	1490
278	575	1485
279	576	1481
280	577	1476
281	578	1472
282	579	1468
283	580	1463
284	581	1459
285	582	1454
286	583	1450
287	585	1446
288	586	1442
289	587	1438
290	588	1434
291	589	1430
292	590	1425
293	592	1421
294	593	1417
295	594	1414
296	595	1410
297	597	1406
298	598	1402
299	599	1398
300	600	1394
301	601	1390
302	602	1386
303	604	1383
304	605	1379
305	606	1375
306	607	1371
307	609	1368
308	610	1364
309	611	1360
310	612	1356
311	613	1353
312	614	1349
313	616	1346
314	617	1342
315	618	1339
316	619	1335
317	620	1331
318	622	1328
319	623	1324
320	624	1321
321	625	1317
322	626	1313
323	628	1310
324	629	1306
325	630	1303
326	631	1300
327	632	1296
328	633	1292
329	634	1289
330	636	1285
331	637	1282
332	638	1278
333	639	1275
334	640	1271
335	641	1268
336	642	1264
337	643	1261
338	645	1257
339	646	1255
340	647	1251
341	648	1248
342	649	1244
343	651	1241
344	652	1238
345	653	1235
346	654	1231
347	655	1228
348	656	1224
349	657	1221
350	658	1218
351	660	1215
352	661	1212
353	662	1208
354	663	1205
355	664	1202
356	665	1199
357	666	1195
358	667	1192
359	669	1189
360	670	1186
361	671	1183
362	672	1180
363	673	1177
364	674	1174
365	676	1171
366	677	1168
367	678	1165
368	679	1162
369	681	1159
370	682	1156
371	683	1153
372	684	1150
373	685	1147
374	686	1144
375	688	1141
376	689	1138
377	690	1135
378	691	1133
379	692	1130
380	693	1127
381	694	1124
382	696	1121
383	697	1118
384	698	1115
385	699	1113
386	700	1110
387	701	1107
388	703	1104
389	704	1101
390	705	1098
391	706	1096
392	707	1093
393	709	1090
394	710	1088
395	711	1085
396	712	1082
397	713	1079
398	715	1077
399	716	1074
400	717	1071
401	718	1068
402	719	1065
403	720	1063
404	721	1060
405	723	1058
406	724	1055
407	725	1052
408	726	1049
409	727	1046
410	728	1044
411	729	1041
412	731	1039
413	732	1036
414	733	1033
415	734	1030
416	735	1028
417	736	1025
418	737	1023
419	739	1020
420	740	1018
421	741	1015
422	742	1012
423	743	1010
424	744	1007
425	746	1005
426	747	1002
427	748	1000
428	749	997
429	750	995
430	752	992
431	753	990
432	754	987
433	755	985
434	756	982
435	757	980
436	759	977
437	760	975
438	761	972
439	762	970
440	763	967
441	764	965
442	765	962
443	767	961
444	768	958
445	769	956
446	771	953
447	772	951
448	773	949
449	774	946
450	776	944
451	777	942
452	778	940
453	779	937
454	780	935
455	782	933
456	783	930
457	784	928
458	785	926
459	787	923
